,taxagroup,siteid,sitename,decimallatitude,decimallongitude,age,value
764,water,E-U5LS,Zumaia (Bedua). Low Tide. Surface,43.2791,-2.252,21,2126
688,water,E-D5LS,Deba (Campo de fútbol). Low Tide. Surface,43.2934,-2.3639,21,2126
664,water,E-B5LS,Plentzia (Abaniko). Low Tide. Surface,43.3963,-2.9241,21,2107
750,water,E-OK20HS,Sukarrieta (Txatxarramendi). High Tide. Surface,43.3936,-2.6943,26,1911
577,phytoplankton,L-B10,Litoral de Gorliz (Cabo Villano),43.4371,-2.9553,17,1905
580,phytoplankton,L-BI10,Litoral de Hondarribia,43.3967,-1.8021,17,1821
584,phytoplankton,L-N10,Litoral del Abra (Frente al Superpuerto),43.3826,-3.082,17,1800
808,water,L-RF20S,Litoral Deba - Plataforma. Surface,43.4,-2.2999,17,1781
810,water,L-RF30S,Litoral Butroe - Plataforma. Surface,43.5,-2.7999,17,1781
589,phytoplankton,L-OI20,Litoral de Pasaia (Asabaratza),43.3601,-1.8918,17,1731
586,phytoplankton,L-O10,Litoral de Orio,43.3054,-2.1356,17,1683
567,phytoplankton,E-OI20,Pasaia (San Pedro),43.3263,-1.9212,21,1661
576,phytoplankton,L-A10,Litoral de Ondarroa,43.3359,-2.4025,17,1626
579,phytoplankton,L-B20,Litoral de Bakio,43.4474,-2.8033,17,1612
710,water,E-N15HS,Barakaldo (Puente de Rontegi). High Tide. Surface,43.2951,-2.974,21,1611
581,phytoplankton,L-D10,Litoral de Deba,43.3266,-2.3525,17,1607
594,phytoplankton,L-U10,Litoral de Zumaia,43.3172,-2.2426,17,1605
714,water,E-N17HS,Leioa (Lamiako). High Tide. Surface,43.3156,-2.9977,21,1588
738,water,E-OI15HS,Pasaia de San Pedro (Dársena de Herrera). High Tide. Surface,43.3224,-1.9311,21,1587
562,phytoplankton,E-N30,Abra Exterior,43.3604,-3.0453,17,1572
583,phytoplankton,L-L20,Litoral de Lekeitio,43.3729,-2.4896,17,1568
582,phytoplankton,L-L10,Litoral de Elantxobe (Kai Arri),43.4026,-2.5851,17,1548
70,invertebrates,E-N20,Abra Interior,43.3382378,-3.0269801,28,1537
569,phytoplankton,E-OK20,Sukarrieta (Txatxarramendi),43.3936,-2.6943,21,1534
587,phytoplankton,L-O20,Litoral de Getaria,43.3156,-2.1801,16,1526
766,water,E-U8HS,Zumaia (Puente del Ferrocarril). High Tide. Surface,43.292,-2.245,21,1522
666,water,E-B7HS,Plentzia (Campo de fútbol). High Tide. Surface,43.3979,-2.9442,21,1521
614,sediments,E-N20,,,,0,1501
702,water,E-M5HS,Muskiz (Petronor). High Tide. Surface,43.3322,-3.1125,21,1497
730,water,E-O5HS,Orio (Rampa). High Tide. Surface,43.2759,-2.1202,21,1497
678,water,E-BI5HS,Irun (Behobia). High Tide. Surface,43.344,-1.7621,21,1497
686,water,E-D5HS,Deba (Campo de fútbol). High Tide. Surface,43.2934,-2.3639,21,1497
654,water,E-A5HS,Ondarroa (Errenteria). High Tide. Surface,43.3221,-2.4433,21,1496
754,water,E-OK5HS,Forua (Salida de la Depuradora). High Tide. Surface,43.3405,-2.6662,21,1495
611,sediments,E-N10,,,,0,1494
762,water,E-U5HS,Zumaia (Bedua). High Tide. Surface,43.2791,-2.252,21,1494
774,water,E-UR5HS,Donostia (Loiola). High Tide. Surface,43.3142,-1.9691,21,1493
694,water,E-L5HS,Lekeitio (Astillero). High Tide. Surface,43.3569,-2.5047,21,1493
662,water,E-B5HS,Plentzia (Abaniko). High Tide. Surface,43.3963,-2.9241,21,1490
813,water,L-UR20B,Litoral de Mompás. Bottom,43.3389,-1.9548,28,1478
620,sediments,E-OI20,,,,0,1476
615,sediments,E-N30,,,,0,1472
719,water,E-N20LB,Abra Interior. Low Tide. Bottom,43.3382,-3.027,28,1448
592,phytoplankton,L-RF20,Litoral Deba - Plataforma,43.4,-2.2999,13,1443
76,invertebrates,E-OI20,Pasaia (San Pedro),43.3263187,-1.9211971,28,1436
618,sediments,E-OI10,,,,0,1422
593,phytoplankton,L-RF30,Litoral Butroe - Plataforma,43.5,-2.7999,13,1406
566,phytoplankton,E-OI15,Pasaia de San Pedro (Dársena de Herrera),43.3224,-1.9311,19,1385
100,invertebrates,L-RF20,Litoral Deba - Plataforma,43.400003,-2.299894,17,1351
739,water,E-OI15LB,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Bottom,43.3224,-1.9311,21,1299
605,sediments,E-D10,,,,0,1288
639,sediments,L-O10,,,,0,1287
643,sediments,L-OK10,,,,0,1287
624,sediments,E-U10,,,,0,1287
621,sediments,E-OK10,,,,0,1286
602,sediments,E-BI10,,,,0,1285
632,sediments,L-B20,,,,0,1285
597,sediments,E-A10,,,,0,1285
99,invertebrates,L-RF10,Litoral Oiartzun - Plataforma,43.4534029,-1.9179517,21,1285
